zip,lat,lon,state,state_code
85074,33.4484,-112.074,Arizona,AZ
85075,33.4484,-112.074,Arizona,AZ
85076,33.4484,-112.074,Arizona,AZ
85078,33.4484,-112.074,Arizona,AZ
85079,33.4484,-112.074,Arizona,AZ
85080,33.4484,-112.074,Arizona,AZ
85082,33.4484,-112.074,Arizona,AZ
85083,33.7352,-112.1294,Arizona,AZ
85085,33.7529,-112.0893,Arizona,AZ
85086,33.8155,-112.1202,Arizona,AZ
85087,33.9235,-112.1279,Arizona,AZ
85097,33.4484,-112.074,Arizona,AZ
85098,33.4484,-112.074,Arizona,AZ
85127,33.2125,-111.697,Arizona,AZ
85142,33.2487,-111.6343,Arizona,AZ
85190,33.5264,-111.3892,Arizona,AZ
85201,33.4317,-111.8469,Arizona,AZ
85202,33.3851,-111.8724,Arizona,AZ
85203,33.437,-111.8057,Arizona,AZ
85204,33.3992,-111.7896,Arizona,AZ
85205,33.4368,-111.7129,Arizona,AZ
85206,33.4026,-111.7242,Arizona,AZ
85207,33.4321,-111.6426,Arizona,AZ
85208,33.3984,-111.6513,Arizona,AZ
85209,33.3782,-111.6406,Arizona,AZ
85210,33.3887,-111.8428,Arizona,AZ
85211,33.4663,-111.8373,Arizona,AZ
85212,33.3425,-111.6353,Arizona,AZ
85213,33.4367,-111.7731,Arizona,AZ
85214,33.4125,-111.8319,Arizona,AZ
85215,33.4707,-111.7188,Arizona,AZ
85216,33.4125,-111.8319,Arizona,AZ
85224,33.3301,-111.8632,Arizona,AZ
85225,33.3105,-111.8239,Arizona,AZ
85226,33.3092,-111.9198,Arizona,AZ
85233,33.3354,-111.8153,Arizona,AZ
85234,33.3527,-111.7809,Arizona,AZ
85236,33.3024,-111.6969,Arizona,AZ
85244,33.3213,-111.8888,Arizona,AZ
85246,33.3062,-111.8413,Arizona,AZ
85248,33.2509,-111.8593,Arizona,AZ
85249,33.2414,-111.7745,Arizona,AZ
85250,33.5218,-111.9049,Arizona,AZ
85251,33.4936,-111.9167,Arizona,AZ
85252,33.4995,-111.8684,Arizona,AZ
85253,33.5494,-111.9565,Arizona,AZ
85254,33.6165,-111.9554,Arizona,AZ
85255,33.6968,-111.8892,Arizona,AZ
85256,33.4858,-111.8533,Arizona,AZ
85257,33.4669,-111.9151,Arizona,AZ
85258,33.5647,-111.8931,Arizona,AZ
85259,33.5879,-111.8404,Arizona,AZ
85260,33.6013,-111.8867,Arizona,AZ
