zip,lat,lon,state,state_code
99753,64.9319,-161.1569,Alaska,AK
99762,64.5011,-165.4064,Alaska,AK
99769,63.6797,-170.4709,Alaska,AK
99771,64.3537,-161.1932,Alaska,AK
99772,66.2306,-166.1373,Alaska,AK
99778,65.2402,-166.3833,Alaska,AK
99783,65.6092,-168.0875,Alaska,AK
99784,64.6814,-163.4056,Alaska,AK
99785,65.3342,-166.4786,Alaska,AK
99721,68.1433,-151.7358,Alaska,AK
99723,71.2346,-156.8174,Alaska,AK
99734,70.2922,-148.6694,Alaska,AK
99747,70.1319,-143.6239,Alaska,AK
99759,69.7439,-163.0084,Alaska,AK
99766,68.3486,-166.7347,Alaska,AK
99782,70.6369,-160.0383,Alaska,AK
99789,70.1927,-150.9971,Alaska,AK
99791,70.4947,-157.4411,Alaska,AK
99727,65.9789,-161.1262,Alaska,AK
99736,66.0737,-162.714,Alaska,AK
99749,66.975,-160.4228,Alaska,AK
99750,67.7269,-164.5333,Alaska,AK
99751,66.9072,-156.8811,Alaska,AK
99752,66.8985,-162.5981,Alaska,AK
99761,67.5711,-162.9653,Alaska,AK
99763,66.8364,-161.0441,Alaska,AK
99770,66.6039,-160.0069,Alaska,AK
99773,66.8881,-157.1364,Alaska,AK
99786,67.0861,-157.8514,Alaska,AK
99830,56.9736,-133.936,Alaska,AK
99833,56.8271,-133.1607,Alaska,AK
99836,56.2497,-134.6444,Alaska,AK
99903,55.7408,-132.2564,Alaska,AK
99918,55.9524,-132.7503,Alaska,AK
99919,55.6609,-132.5138,Alaska,AK
99921,55.4732,-133.1171,Alaska,AK
99922,55.2087,-132.8259,Alaska,AK
99923,55.9169,-130.0247,Alaska,AK
99925,55.5526,-133.0555,Alaska,AK
99926,55.1215,-131.579,Alaska,AK
99927,56.3528,-133.6211,Alaska,AK
99835,57.0514,-135.3166,Alaska,AK
99840,59.4685,-135.3018,Alaska,AK
99689,59.812,-139.5505,Alaska,AK
99731,63.952,-146.451,Alaska,AK
99732,64.0733,-141.9361,Alaska,AK
99737,64.0378,-145.7322,Alaska,AK
99738,64.7881,-141.2,Alaska,AK
99764,62.9617,-141.9372,Alaska,AK
99776,63.3853,-143.3464,Alaska,AK
99780,63.3367,-142.9856,Alaska,AK
99929,56.4335,-132.3529,Alaska,AK
99558,62.6561,-160.2067,Alaska,AK
99590,62.9036,-160.0647,Alaska,AK
99602,62.1926,-159.8251,Alaska,AK
99627,62.9457,-155.5712,Alaska,AK
99665,62.6822,-159.5619,Alaska,AK
99675,62.9886,-156.0642,Alaska,AK
99691,63.0133,-154.375,Alaska,AK
99720,66.5656,-152.6456,Alaska,AK
99722,68.1269,-145.5378,Alaska,AK
99724,66.3594,-147.3964,Alaska,AK
